field_id	documents	values	value_status
A.001	260	260	reported=260
A.002	309	309	reported=309
A.003	324	324	reported=324
A.004	300	300	reported=300
A.005	242	242	reported=242
A.006	47	47	reported=47
A.007	8	8	reported=8
A.008	314	314	reported=314
A.009	246	246	reported=246
A.010	249	249	parse_error=11;reported=238
A.011	152	152	reported=152
A.012	228	228	not_applicable=1;parse_error=95;reported=132
A.013	261	261	reported=261
A.014	229	229	parse_error=1;reported=228
A.015	237	237	parse_error=2;reported=235
A.0A	8	8	reported=8
A.101	411	411	reported=411
A.102	256	256	reported=256
A.103	31	31	reported=31
A.104	7	7	reported=7
A.105	342	342	reported=342
A.106	316	316	parse_error=187;reported=129
A.107	315	315	parse_error=11;reported=304
A.108	230	230	parse_error=108;reported=122
A.109	202	202	parse_error=19;reported=183
A.110	313	313	parse_error=105;reported=208
A.111	28	28	reported=28
A.112	304	304	reported=304
A.113	40	40	reported=40
A.114	39	39	reported=39
A.115	11	11	reported=11
A.116	4	4	reported=4
A.117	32	32	reported=32
A.118	31	31	reported=31
A.119	32	32	parse_error=5;reported=27
A.120	30	30	reported=30
A.121	202	202	parse_error=1;reported=201
A.122	306	306	parse_error=100;reported=206
A.123	7	7	parse_error=2;reported=5
A.124	17	17	parse_error=2;reported=15
A.125	22	22	parse_error=18;reported=4
A.126	4	4	reported=4
A.127	326	326	reported=326
A.128	186	186	parse_error=2;reported=184
A.129	7	7	reported=7
A.201	287	287	reported=287
A.202	12	12	reported=12
A.203	2	2	reported=2
A.301	307	307	reported=307
A.302	2	2	reported=2
A.303	3	3	reported=3
A.401	298	298	reported=298
A.402	8	8	reported=8
A.403	7	7	reported=7
A.404	4	4	reported=4
A.405	8	8	reported=8
A.406	4	4	reported=4
A.407	2	2	reported=2
A.501	209	209	reported=209
A.502	30	30	reported=30
A.503	107	107	reported=107
A.504	30	30	reported=30
A.505	34	34	reported=34
A.506	412	412	parse_error=1;reported=411
A.507	249	249	reported=249
A.508	366	366	reported=366
A.509	226	226	reported=226
A.510	250	250	reported=250
A.511	235	235	reported=235
A.512	37	37	reported=37
A.601	199	199	reported=199
B.101	425	425	parse_error=4;reported=421
B.102	395	395	parse_error=4;reported=391
B.103	362	362	parse_error=25;reported=337
B.104	337	337	parse_error=4;reported=333
B.105	229	229	parse_error=5;reported=224
B.106	401	401	parse_error=4;reported=397
B.107	172	172	parse_error=3;reported=169
B.108	289	289	parse_error=3;reported=286
B.109	233	233	parse_error=24;reported=209
B.110	246	246	parse_error=3;reported=243
B.111	139	139	parse_error=4;reported=135
B.112	303	303	parse_error=3;reported=300
B.113	205	205	parse_error=4;reported=201
B.114	229	229	parse_error=5;reported=224
B.115	172	172	parse_error=4;reported=168
B.116	364	364	parse_error=4;reported=360
B.117	232	232	parse_error=4;reported=228
B.118	224	224	parse_error=3;reported=221
B.119	164	164	parse_error=5;reported=159
B.120	279	279	parse_error=4;reported=275
B.1201	13	13	not_applicable=1;parse_error=1;reported=11
B.1202	4	4	not_applicable=1;reported=3
B.121	248	248	parse_error=24;reported=224
B.122	185	185	parse_error=4;reported=181
B.123	89	89	parse_error=3;reported=86
B.124	322	322	parse_error=25;reported=297
B.125	204	204	parse_error=4;reported=200
B.126	413	413	parse_error=3;reported=410
B.127	348	348	parse_error=3;reported=345
B.128	373	373	parse_error=3;reported=370
B.129	226	226	parse_error=3;reported=223
B.130	197	197	parse_error=3;reported=194
B.1301	31	31	not_applicable=1;reported=30
B.1302	3	3	not_applicable=1;reported=2
B.131	313	313	parse_error=3;reported=310
B.132	258	258	parse_error=3;reported=255
B.133	195	195	parse_error=2;reported=193
B.134	208	208	parse_error=2;reported=206
B.135	152	152	parse_error=2;reported=150
B.136	268	268	parse_error=2;reported=266
B.137	225	225	parse_error=2;reported=223
B.138	184	184	parse_error=2;reported=182
B.139	143	143	parse_error=1;reported=142
B.140	362	362	parse_error=1;reported=361
B.1401	212	212	not_applicable=1;reported=211
B.1402	186	186	not_applicable=1;reported=185
B.141	188	188	parse_error=2;reported=186
B.142	206	206	parse_error=3;reported=203
B.143	134	134	parse_error=1;reported=133
B.144	270	270	parse_error=1;reported=269
B.145	197	197	parse_error=1;reported=196
B.146	218	218	parse_error=1;reported=217
B.147	91	91	parse_error=1;reported=90
B.148	308	308	parse_error=1;reported=307
B.149	99	99	parse_error=1;reported=98
B.150	145	145	parse_error=3;reported=142
B.1501	20	20	not_applicable=1;parse_error=1;reported=18
B.1502	7	7	not_applicable=1;parse_error=1;reported=5
B.151	230	230	parse_error=5;reported=225
B.152	250	250	parse_error=1;reported=249
B.153	172	172	parse_error=3;reported=169
B.154	210	210	parse_error=3;reported=207
B.155	98	98	parse_error=3;reported=95
B.156	288	288	parse_error=3;reported=285
B.157	160	160	parse_error=2;reported=158
B.158	157	157	parse_error=2;reported=155
B.159	103	103	parse_error=4;reported=99
