school_id,school_name,domain,docs_in_db,in_schools_yaml,current_hint,playwright_status,playwright_anchors,note,suggested_google_query
mit,Massachusetts Institute of Technology,mit.edu,0,yes,https://ir.mit.edu/project-topic/common-data-set,ok,5,"Playwright found 5 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""Massachusetts Institute of Technology"" ""common data set"""
auburn-university,Auburn University,auburn.edu,0,yes,https://ir.auburn.edu/common-data-set/,ok,2,"Playwright found 2 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""Auburn University"" ""common data set"""
university-of-notre-dame,University of Notre Dame,nd.edu,0,yes,https://www3.nd.edu/~instres/CDS/2022-2023/CDS_2022-2023.pdf,ok,1,UA-blocked by www3.nd.edu (404). Need headless-browser download path. Known PDF pattern: www3.nd.edu/~instres/CDS/<YYYY-YYYY>/CDS_<YYYY-YYYY>.pdf,"""University of Notre Dame"" ""common data set"""
pepperdine-university,Pepperdine University,pepperdine.edu,0,yes,https://www.pepperdine.edu/oie/content/pdf/cds_2019-20_ver2.pdf,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""Pepperdine University"" ""common data set"""
fordham-university,Fordham University,fordham.edu,0,yes,https://www.fordham.edu/download/downloads/id/14986/common_data_set_2019-2020.pdf,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""Fordham University"" ""common data set"""
williams-college,Williams College,williams.edu,0,yes,https://www.williams.edu/institutional-research/files/2019/08/2010-2011_williams_common_data_set.pdf,ok,30,"Playwright found 30 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""Williams College"" ""common data set"""
university-of-chicago,university-of-chicago,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""university-of-chicago"" ""common data set"""
caltech,caltech,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""caltech"" ""common data set"""
johns-hopkins-university,johns-hopkins-university,,0,no,,ok,1,JHU oira.jhu.edu blocks non-browser UAs (403 on /wp-content/uploads/CDS_*.pdf). Need different UA or headless fetch.,"""johns-hopkins-university"" ""common data set"""
university-of-california-berkeley,university-of-california-berkeley,,0,no,,ok,1,"Playwright found 1 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""university-of-california-berkeley"" ""common data set"""
university-of-california-los-angeles,university-of-california-los-angeles,,0,no,,ok,1,"Playwright found 1 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""university-of-california-los-angeles"" ""common data set"""
rice-university,rice-university,,0,no,,ok,1,"Playwright found 1 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""rice-university"" ""common data set"""
vanderbilt-university,vanderbilt-university,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""vanderbilt-university"" ""common data set"""
emory-university,emory-university,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""emory-university"" ""common data set"""
university-of-virginia-main-campus,university-of-virginia-main-campus,,0,no,,ok,3,"Playwright found 3 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""university-of-virginia-main-campus"" ""common data set"""
university-of-southern-california,university-of-southern-california,,0,no,,ok,7,"Playwright found 7 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""university-of-southern-california"" ""common data set"""
new-york-university,new-york-university,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""new-york-university"" ""common data set"""
university-of-florida,university-of-florida,,0,no,,ok,1,"Playwright found 1 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""university-of-florida"" ""common data set"""
university-of-texas-at-austin,university-of-texas-at-austin,,0,no,,ok,1,"Playwright found 1 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""university-of-texas-at-austin"" ""common data set"""
georgia-institute-of-technology-main-campus,georgia-institute-of-technology-main-campus,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""georgia-institute-of-technology-main-campus"" ""common data set"""
university-of-california-san-diego,university-of-california-san-diego,,0,no,,ok,1,"Playwright found 1 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""university-of-california-san-diego"" ""common data set"""
university-of-california-davis,university-of-california-davis,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""university-of-california-davis"" ""common data set"""
university-of-california-irvine,university-of-california-irvine,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""university-of-california-irvine"" ""common data set"""
university-of-california-santa-barbara,university-of-california-santa-barbara,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""university-of-california-santa-barbara"" ""common data set"""
ohio-state-university,ohio-state-university,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""ohio-state-university"" ""common data set"""
purdue-university,purdue-university,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""purdue-university"" ""common data set"""
university-of-maryland-college-park,university-of-maryland-college-park,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""university-of-maryland-college-park"" ""common data set"""
lehigh-university,lehigh-university,,0,no,,ok,1,"Playwright found 1 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""lehigh-university"" ""common data set"""
northeastern-university,northeastern-university,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""northeastern-university"" ""common data set"""
texas-a-and-m-university-college-station,texas-a-and-m-university-college-station,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""texas-a-and-m-university-college-station"" ""common data set"""
syracuse-university,Syracuse University,syracuse.edu,0,yes,,no_anchors,0,Syracuse does not publish CDS at a stable public URL. Check institutionaldata.syr.edu/key-data/ manually.,"""Syracuse University"" ""common data set"""
rutgers-university-new-brunswick,rutgers-university-new-brunswick,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""rutgers-university-new-brunswick"" ""common data set"""
indiana-university-bloomington,indiana-university-bloomington,,0,no,,ok,1,"Playwright found 1 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""indiana-university-bloomington"" ""common data set"""
brandeis-university,brandeis-university,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""brandeis-university"" ""common data set"""
drexel-university,drexel-university,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""drexel-university"" ""common data set"""
university-of-delaware,university-of-delaware,,0,no,,ok,1,"Playwright found 1 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""university-of-delaware"" ""common data set"""
amherst-college,amherst-college,,0,no,,ok,1,"Playwright found 1 anchors — check manual_urls.yaml (Box/Drive viewer, 403, or subpages)","""amherst-college"" ""common data set"""
bowdoin-college,bowdoin-college,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""bowdoin-college"" ""common data set"""
washington-and-lee-university,washington-and-lee-university,,0,no,,no_anchors,0,Landing page found but 0 CDS anchors visible; may be WAF-blocked or wrong URL,"""washington-and-lee-university"" ""common data set"""
